picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Ravai,,1,Clermont
1.5,150,270,275,155,Beheregaray,,2,Clermont
1.5,45,270,275,265,Ojovan,,3,Clermont
1.5,200,225,225,110,"Lanen ",,4,Clermont
1.5,100,225,225,200,Vahaamahina,,5,Clermont
1.5,250,180,185,35,Iturria,(C),6,Clermont
1.5,45,180,185,279,"Van Tonder",,7,Clermont
1.5,150,180,185,155,Lee,,8,Clermont
1.5,205,135,135,75,Viallard,,9,Clermont
1.5,90,135,135,240,Lopez,,10,Clermont
1.5,275,90,85,15,Tiberghien,,11,Clermont
1.5,195,90,85,110,Penaud,,12,Clermont
1.5,100,90,85,205,Moala,,13,Clermont
1.5,25,90,85,300,Raka,,14,Clermont
1.5,150,50,40,155,Matsushima,,15,Clermont
1.5,45,315,355,265,Cronin,,1,Biarritz
1.5,150,315,355,155,Soury,,2,Biarritz
1.5,250,315,355,50,Azariashvili,,3,Biarritz
1.5,200,360,405,200,Dyer,,4,Biarritz
1.5,100,360,405,110,Tyrell,,5,Biarritz
1.5,45,405,450,279,Dixon,,6,Biarritz
1.5,250,405,450,35,Hirigoyen,,7,Biarritz
1.5,150,405,450,155,"Jalagonia ",,8,Biarritz
1.5,90,450,500,240,Cubelli,,9,Biarritz
1.5,205,450,500,75,"Perraux ",(C),10,Biarritz
1.5,25,495,545,300,Speight,,11,Biarritz
1.5,105,495,545,205,Saili,,12,Biarritz
1.5,200,495,545,110,Kuridrani,,13,Biarritz
1.5,275,495,545,15,Domvo,,14,Biarritz
1.5,150,535,590,155,Jonas,,15,Biarritz
