picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Priso,,1,"La Rochelle"
1.5,150,270,275,155,Bourgarit,,2,"La Rochelle"
1.5,45,270,275,265,Atonio,,3,"La Rochelle"
1.5,200,225,225,110,Lavault,,4,"La Rochelle"
1.5,100,225,225,200,Sazy,,5,"La Rochelle"
1.5,250,180,185,35,Liebenberg,,6,"La Rochelle"
1.5,45,180,185,279,Gourdon,,7,"La Rochelle"
1.5,150,180,185,155,Alldritt,(C),8,"La Rochelle"
1.5,205,135,135,75,Kerr-Barlow,,9,"La Rochelle"
1.5,90,135,135,240,Popelin,,10,"La Rochelle"
1.5,275,90,85,15,Rhule,,11,"La Rochelle"
1.5,195,90,85,110,Danty,,12,"La Rochelle"
1.5,100,90,85,205,Buliruarua,,13,"La Rochelle"
1.5,25,90,85,300,Leyds,,14,"La Rochelle"
1.5,150,50,40,155,Dulin,,15,"La Rochelle"
1.5,45,315,355,265,Tichit,,1,Castres
1.5,150,315,355,155,Lebrun,,2,Castres
1.5,250,315,355,50,Guillamon,,3,Castres
1.5,200,360,405,200,Jacquet,,4,Castres
1.5,100,360,405,110,Staniforth,,5,Castres
1.5,45,405,450,279,"Babillot ",(C),6,Castres
1.5,250,405,450,35,"De Crespigny",,7,Castres
1.5,150,405,450,155,"Ben Nicholas",,8,Castres
1.5,90,450,500,240,Fernandez,,9,Castres
1.5,205,450,500,75,Urdapilleta,,10,Castres
1.5,25,495,545,300,Nakosi,,11,Castres
1.5,105,495,545,205,Cocagi,,12,Castres
1.5,200,495,545,110,Aguillon,,13,Castres
1.5,275,495,545,15,Palis,,14,Castres
1.5,150,535,590,155,Dumora,,15,Castres
